employee_name,user_id,email,role,projects,business_unit,functional_unit,department,team,supervisor,start_date,end_date
Macaulay Hilel Michael,MHM2370,Macaulay.Hilel.Michael@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,3 - RegionalFieldService,Rhea Lydia Stein,2009-12-01 00:00:00,2011-06-01
Denton Austin Mooney,DAM2954,Denton.Austin.Mooney@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,4 - RegionalSales,Tanisha Chiquita Mullins,2009-12-01 00:00:00,2011-06-01
Sebastian Leonard Hobbs,SLH0900,Sebastian.Leonard.Hobbs@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,2 - AssemblyDept,Mona Jolene Frye,2009-12-01 00:00:00,2011-06-01
Ahmed Hayes Burton,AHB0648,Ahmed.Hayes.Burton@dtaa.com,TechnicalWriter,Project 32,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,1 - Publications,Carly Kaden Berry,2009-12-01 00:00:00,2011-06-01
Deanna Aline Molina,DAM2837,Deanna.Aline.Molina@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,7 - Stockroom,Britanney Ursa Shepard,2009-12-01 00:00:00,2011-06-01
Jescie Buffy Lowe,JBL2993,Jescie.Buffy.Lowe@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,4 - RegionalFieldService,Sarah Lilah Mason,2009-12-01 00:00:00,2011-06-01
Mariko Vanna Ochoa,MVO2746,Mariko.Vanna.Ochoa@dtaa.com,ElectricalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,20 - SystemsEngineering,Aline Linda Bowen,2009-12-01 00:00:00,2011-06-01
Blair Britanni Howell,BBH2509,Blair.Britanni.Howell@dtaa.com,MaterialsEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,19 - MaterialsEngineering,Mercedes Josephine Ayala,2009-12-01 00:00:00,2011-06-01
Grant Zeph Meadows,GZM3990,Grant.Zeph.Meadows@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,14 - AssemblyDept,Hillary Zenaida Adkins,2009-12-01 00:00:00,2011-06-01
Rudyard Garrison Rios,RGR0706,Rudyard.Garrison.Rios@dtaa.com,Technician,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,6 - TestAndEvalualtion,Dana Christen Wilkins,2009-12-01 00:00:00,2011-06-01
Buckminster Akeem Rush,BAR3420,Buckminster.Akeem.Rush@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,5 - RegionalSales,Charles Ulric Lynn,2009-12-01 00:00:00,2011-05-01
Adara Caryn Weaver,ACW0426,Adara.Caryn.Weaver@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,1 - RegionalFieldService,Sydney Medge Ellis,2009-12-01 00:00:00,2011-06-01
Candace Myra Mathis,CMM3674,Candace.Myra.Mathis@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,11 - Stockroom,Carlos Tanek Buchanan,2009-12-01 00:00:00,2011-06-01
Hammett Octavius Edwards,HOE0301,Hammett.Octavius.Edwards@dtaa.com,StockroomClerk,,1,5 - Manufacturing_Commercial,3 - Assembly,1 - Stockroom,Hammett Zeus Hodge,2009-12-01 00:00:00,2011-06-01
Candace Kaye Bernard,CKB0596,Candace.Kaye.Bernard@dtaa.com,Scientist,,1,3 - ResearchAndEngineering_Government_Domestic,2 - Research,1 - Lab,Charlotte Ramona Maxwell,2009-12-01 00:00:00,2011-06-01
Colton Yuli Ortega,CYO1575,Colton.Yuli.Ortega@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,4 - AssemblyDept,Kennedy Beau Alvarez,2009-12-01 00:00:00,2011-06-01
Lilah Marcia Hendrix,LMH2801,Lilah.Marcia.Hendrix@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,8 - AssemblyDept,Kuame Alvin Henry,2009-12-01 00:00:00,2011-06-01
Melissa Quincy Rodriguez,MQR1657,Melissa.Quincy.Rodriguez@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,2 - RegionalSales,Cheryl Brianna Aguirre,2009-12-01 00:00:00,2011-06-01
Noelle Kendall Garrett,NKG2706,Noelle.Kendall.Garrett@dtaa.com,MechanicalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,17 - MechanicalEngineering,Tyler Peter Grimes,2009-12-01 00:00:00,2011-06-01
Thaddeus Brett Daniel,TBD2008,Thaddeus.Brett.Daniel@dtaa.com,ElectricalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,16 - TestAndEvalualtion,Elijah Valentine Fuentes,2009-12-01 00:00:00,2011-06-01
Jeanette Tallulah Carroll,JTC0941,Jeanette.Tallulah.Carroll@dtaa.com,Technician,,1,8 - SalesAndMarketing_Commercial,3 - FieldService,1 - RegionalFieldService,Jessamine Madeson Eaton,2009-12-01 00:00:00,2011-06-01
Kane Oliver Ellis,KOE0908,Kane.Oliver.Ellis@dtaa.com,Salesman,,1,8 - SalesAndMarketing_Commercial,2 - Sales,1 - RegionalSales,Florence Giselle Neal,2009-12-01 00:00:00,2011-06-01
Olga Ursula Herrera,OUH0741,Olga.Ursula.Herrera@dtaa.com,SoftwareEngineer,Project 3,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,2 - DesktopSoftware,Andrew Tobias Hoover,2009-12-01 00:00:00,2011-06-01
Eleanor Uma Hensley,EUH0257,Eleanor.Uma.Hensley@dtaa.com,AdministrativeAssistant,Project 3,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,2 - MechanicalEngineering,Vaughan Dustin Bender,2009-12-01 00:00:00,2011-06-01
Fulton August Jackson,FAJ3101,Fulton.August.Jackson@dtaa.com,SystemsEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,24 - SystemsEngineering,Hop Alfonso Palmer,2009-12-01 00:00:00,2011-06-01
Herman Bert Cook,HBC0999,Herman.Bert.Cook@dtaa.com,LabManager,,1,3 - ResearchAndEngineering_Government_Domestic,2 - Research,2 - Lab,Inez Sage Marks,2009-12-01 00:00:00,2011-06-01
Thaddeus Peter Mercado,TPM3141,Thaddeus.Peter.Mercado@dtaa.com,MechanicalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,22 - MechanicalEngineering,Constance Justine Galloway,2009-12-01 00:00:00,2011-06-01
Reuben Gareth Bright,RGB1869,Reuben.Gareth.Bright@dtaa.com,HardwareEngineer,,1,2 - ResearchAndEngineering_Commercial,4 - Engineering,15 - SystemsEngineering,Salvador Hu Patel,2009-12-01 00:00:00,2011-06-01
Jerome Paki Flowers,JPF1296,Jerome.Paki.Flowers@dtaa.com,MaterialsEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,9 - MaterialsEngineering,Castor Harper Faulkner,2009-12-01 00:00:00,2011-06-01
Allegra April Bates,AAB0398,Allegra.April.Bates@dtaa.com,AdministrativeAssistant,,1,9 - SalesAndMarketing_Government,,,Deborah Madaline Horton,2009-12-01 00:00:00,2011-06-01
Lani Odette Reed,LOR1044,Lani.Odette.Reed@dtaa.com,ITAdmin,,1,1 - Adminstration,5 - Security,4 - ElectronicSecurity,Timon Duncan Harrison,2009-12-01 00:00:00,2010-03-01
Sarah Amelia Mayo,SAM3862,Sarah.Amelia.Mayo@dtaa.com,SecurityGuard,,1,1 - Adminstration,5 - Security,12 - BuildingSecurity,Yvonne Kellie Walters,2009-12-01 00:00:00,2011-06-01
Hall Aladdin Gardner,HAG3196,Hall.Aladdin.Gardner@dtaa.com,Mathematician,,1,4 - ResearchAndEngineering_Government_Foreign,2 - Research,5 - Lab,Geoffrey Rahim Griffin,2009-12-01 00:00:00,2011-06-01
Marah Jillian Santos,MJS1251,Marah.Jillian.Santos@dtaa.com,SoftwareDeveloper,Project 67,1,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,7 - WebSoftware,Farrah Molly Caldwell,2009-12-01 00:00:00,2011-06-01
Kane Dante Nicholson,KDN1740,Kane.Dante.Nicholson@dtaa.com,NursePractitioner,,1,1 - Adminstration,4 - Safety,3 - Medical,Neil Hamish Hicks,2009-12-01 00:00:00,2011-06-01
Inez Sage Marks,ISM0130,Inez.Sage.Marks@dtaa.com,Director,,1,3 - ResearchAndEngineering_Government_Domestic,2 - Research,,Kasimir Axel Medina,2009-12-01 00:00:00,2011-06-01
Aubrey Dora Curtis,ADC1469,Aubrey.Dora.Curtis@dtaa.com,MechanicalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,11 - TestAndEvalualtion,Naida Shellie Barlow,2009-12-01 00:00:00,2011-06-01
Wilma Yvonne Cooper,WYC2416,Wilma.Yvonne.Cooper@dtaa.com,SecurityGuard,,1,1 - Adminstration,5 - Security,7 - BuildingSecurity,Armand Myles Jimenez,2009-12-01 00:00:00,2011-06-01
Dora Kendall Forbes,DKF2721,Dora.Kendall.Forbes@dtaa.com,ElectricalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,18 - ElectricalEngineering,Hammett Hamish Donaldson,2009-12-01 00:00:00,2011-06-01
Nicole Jenette Graham,NJG2979,Nicole.Jenette.Graham@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,4 - RegionalFieldService,Sarah Lilah Mason,2009-12-01 00:00:00,2011-06-01
Nicolas Raphael Kelly,NRK3448,Nicolas.Raphael.Kelly@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,5 - RegionalFieldService,Hedy Kristen Mcfadden,2009-12-01 00:00:00,2011-06-01
Aristotle Albert Fulton,AAF3937,Aristotle.Albert.Fulton@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,14 - AssemblyDept,Keegan Noah Riggs,2009-12-01 00:00:00,2011-06-01
Kameko Evangeline Hoffman,KEH0665,Kameko.Evangeline.Hoffman@dtaa.com,MechanicalEngineer,,1,3 - ResearchAndEngineering_Government_Domestic,4 - Engineering,2 - MechanicalEngineering,Grace Jasmine Gamble,2009-12-01 00:00:00,2011-06-01
Lila Uma Garza,LUG2205,Lila.Uma.Garza@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,5 - Stockroom,Malachi Nicolas Ward,2009-12-01 00:00:00,2011-06-01
Britanni Mariam Mcclain,BMM3328,Britanni.Mariam.Mcclain@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,10 - AssemblyDept,Ira Austin Avery,2009-12-01 00:00:00,2011-06-01
Nola Ursula Kane,NUK1513,Nola.Ursula.Kane@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,4 - AssemblyDept,Mark William Horne,2009-12-01 00:00:00,2011-06-01
Felix Dustin Fletcher,FDF2135,Felix.Dustin.Fletcher@dtaa.com,ElectricalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,16 - TestAndEvalualtion,Ifeoma Mechelle Nash,2009-12-01 00:00:00,2010-05-01
Cooper Deacon Sawyer,CDS1579,Cooper.Deacon.Sawyer@dtaa.com,ProductionLineWorker,,1,6 - Manufacturing_Government,3 - Assembly,4 - AssemblyDept,Kennedy Beau Alvarez,2009-12-01 00:00:00,2011-06-01
Adena Jescie Oneal,AJO2788,Adena.Jescie.Oneal@dtaa.com,StockroomClerk,,1,5 - Manufacturing_Commercial,3 - Assembly,7 - Stockroom,Stephen Tanek Kirkland,2009-12-01 00:00:00,2011-06-01
Jada Nadine Rojas,JNR1694,Jada.Nadine.Rojas@dtaa.com,Technician,,1,9 - SalesAndMarketing_Government,3 - FieldService,2 - RegionalFieldService,Haley Madeline Thomas,2009-12-01 00:00:00,2011-06-01
Xyla Alea Berg,XAB0936,Xyla.Alea.Berg@dtaa.com,Technician,,1,8 - SalesAndMarketing_Commercial,3 - FieldService,1 - RegionalFieldService,Jessamine Madeson Eaton,2009-12-01 00:00:00,2010-08-01
Chelsea Petra Church,CPC0724,Chelsea.Petra.Church@dtaa.com,SoftwareQualityEngineer,Project 16,1,4 - ResearchAndEngineering_Government_Foreign,3 - SoftwareManagement,1 - SQA,Rose Angela Salas,2009-12-01 00:00:00,2011-06-01
Brenden Benjamin Vaughn,BBV3875,Brenden.Benjamin.Vaughn@dtaa.com,Scientist,,1,2 - ResearchAndEngineering_Commercial,2 - Research,7 - Lab,Zelda Aretha Wallace,2009-12-01 00:00:00,2011-06-01
Hayes Donovan Combs,HDC2132,Hayes.Donovan.Combs@dtaa.com,SystemsEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,15 - SystemsEngineering,Leo Travis Rojas,2009-12-01 00:00:00,2011-06-01
Indigo Minerva Puckett,IMP0960,Indigo.Minerva.Puckett@dtaa.com,Salesman,,1,9 - SalesAndMarketing_Government,2 - Sales,1 - RegionalSales,Whoopi Laurel Guy,2009-12-01 00:00:00,2011-06-01
Raphael Tanner Warren,RTW2758,Raphael.Tanner.Warren@dtaa.com,Technician,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,21 - TestAndEvalualtion,Catherine Madonna Owen,2009-12-01 00:00:00,2011-06-01
Scarlet Genevieve Contreras,SGC1001,Scarlet.Genevieve.Contreras@dtaa.com,Manager,Project 32,1,3 - ResearchAndEngineering_Government_Domestic,3 - SoftwareManagement,6 - EmbeddedSoftware,Kaden Ezekiel Osborne,2009-12-01 00:00:00,2011-06-01
Lucius Cole Buckley,LCB2041,Lucius.Cole.Buckley@dtaa.com,Physicist,,1,4 - ResearchAndEngineering_Government_Foreign,2 - Research,3 - Lab,Lamar Benjamin Johnston,2009-12-01 00:00:00,2011-06-01
Cally Haley Butler,CHB1062,Cally.Haley.Butler@dtaa.com,ITAdmin,,1,1 - Adminstration,5 - Security,4 - ElectronicSecurity,Timon Duncan Harrison,2009-12-01 00:00:00,2011-06-01
Cole Giacomo Burnett,CGB2215,Cole.Giacomo.Burnett@dtaa.com,StockroomClerk,,1,6 - Manufacturing_Government,3 - Assembly,5 - Stockroom,Malachi Nicolas Ward,2009-12-01 00:00:00,2011-06-01
Hashim Leroy Saunders,HLS2733,Hashim.Leroy.Saunders@dtaa.com,MaterialsEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,19 - MaterialsEngineering,Shaeleigh Darryl Hill,2009-12-01 00:00:00,2011-06-01
Armand Myles Jimenez,AMJ2374,Armand.Myles.Jimenez@dtaa.com,Manager,Project 64,1,1 - Adminstration,5 - Security,7 - BuildingSecurity,Peter Nicholas Livingston,2009-12-01 00:00:00,2011-06-01
Shaeleigh Darryl Hill,SDH2394,Shaeleigh.Darryl.Hill@dtaa.com,ChiefEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,19 - MaterialsEngineering,Jason Amery Franco,2009-12-01 00:00:00,2011-06-01
Lucas Castor Grant,LCG0784,Lucas.Castor.Grant@dtaa.com,MechanicalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,2 - MechanicalEngineering,Vaughan Dustin Bender,2009-12-01 00:00:00,2011-06-01
Denton Kelly Snider,DKS1509,Denton.Kelly.Snider@dtaa.com,ProductionLineWorker,,1,5 - Manufacturing_Commercial,3 - Assembly,4 - AssemblyDept,Mark William Horne,2009-12-01 00:00:00,2011-06-01
Hedwig Blaine Merritt,HBM2126,Hedwig.Blaine.Merritt@dtaa.com,ElectricalEngineer,,1,4 - ResearchAndEngineering_Government_Foreign,4 - Engineering,15 - SystemsEngineering,Leo Travis Rojas,2009-12-01 00:00:00,2011-06-01
Dorian Jesse Phillips,DJP2420,Dorian.Jesse.Phillips@dtaa.com,SecurityGuard,,1,1 - Adminstration,5 - Security,7 - BuildingSecurity,Armand Myles Jimenez,2009-12-01 00:00:00,2010-09-01
